conference_id,city,index,location,country,address,latitude,longitude,co2_kg,distance_km,plane trips_amount,train trips_amount,continent,num_persons,is_local,locals
034,Cambridge,137,"Cambridge,  United Kingdom",United Kingdom,"Cambridge, Cambridgeshire, East of England, England, United Kingdom",52.19758465,0.139153737368744,22652.84,138725.491,8,0,Europe,8,False,0
034,Cambridge,140,"Cambridge,  United States",United States,"Cambridge, Middlesex County, Massachusetts, United States",42.3750997,-71.1056157,69911.976,423042.706,49,0,North America,49,False,0
035,Cambridge,21,"Cambridge,  United Kingdom",United Kingdom,"Cambridge, Cambridgeshire, East of England, England, United Kingdom",52.19758465,0.1391537374,1151.988,5051.805,3,0,Europe,3,False,0
035,Cambridge,37,"Cambridge,  United States",United States,"Cambridge, Middlesex County, Massachusetts, United States",42.3750997,-71.1056157,7909.132,48182.33,4,0,North America,4,False,0
039,Heidelberg,1,"Heidelberg,  Australia",Australia,"Heidelberg, Melbourne, City of Banyule, Victoria, 3084, Australia",-37.7513665,145.069740281416,998.142,5460.365,1,0,Oceania,1,False,0
039,Heidelberg,41,"Heidelberg,  Germany",Germany,"Heidelberg, Baden-Württemberg, Germany",49.4093582,8.694724,17988.077,110651.811,4,0,Europe,4,False,0
046,Moscow,9,"Moscow,  United States",United States,"Moscow, Latah County, Idaho, United States",46.7323875,-117.0001651,1126.57,6182.393,1,0,North America,1,False,0
046,Moscow,33,"Moscow,  Russia",Russia,"Moscow, Central Federal District, Russia",55.7504461,37.6174943,3527.676,21654.948,1,0,Asia,1,False,0
054,Cambridge,7,"Cambridge,  United Kingdom",United Kingdom,"Cambridge, Cambridgeshire, East of England, England, United Kingdom",52.19758465,0.1391537373687439,35.091,1173.615,0,2,Europe,2,False,0
054,Cambridge,48,"Cambridge,  United States",United States,"Cambridge, Middlesex County, Massachusetts, United States",42.3750997,-71.1056157,1820.005,11070.77,1,0,North America,1,False,0
058,Cambridge,0,"Cambridge,  United Kingdom",United Kingdom,"Cambridge, Cambridgeshire, East of England, England, United Kingdom",52.19758465,0.1391537373687439,0.0,0.0,0,4,Europe,4,True,4
058,Cambridge,68,"Cambridge,  United States",United States,"Cambridge, Middlesex County, Massachusetts, United States",42.3750997,-71.1056157,3462.19,21039.413,2,0,North America,2,False,0
064,Cambridge,11,"Cambridge,  United States",United States,"Cambridge, Middlesex County, Massachusetts, United States",42.3750997,-71.1056157,564.881,2304.408,2,0,North America,2,False,0
064,Cambridge,48,"Cambridge,  United Kingdom",United Kingdom,"Cambridge, Cambridgeshire, East of England, England, United Kingdom",52.19758465,0.1391537373687439,3833.468,23340.601,2,0,Europe,2,False,0
075,Cambridge,9,"Cambridge,  United Kingdom",United Kingdom,"Cambridge, Cambridgeshire, East of England, England, United Kingdom",52.19758465,0.1391537373687439,70.823,2368.655,0,4,Europe,4,False,0
075,Cambridge,30,"Cambridge,  United States",United States,"Cambridge, Middlesex County, Massachusetts, United States",42.3750997,-71.1056157,3643.693,22164.368,2,0,North America,2,False,0
078,Cambridge,40,"Cambridge,  United States",United States,"Cambridge, Middlesex County, Massachusetts, United States",42.3750997,-71.1056157,4026.149,24325.185,3,0,North America,3,False,0
078,Cambridge,51,"Cambridge,  United Kingdom",United Kingdom,"Cambridge, Cambridgeshire, East of England, England, United Kingdom",52.19758465,0.1391537373687439,9965.714,60929.065,4,0,Europe,4,False,0
088,London,17,"London,  United Kingdom",United Kingdom,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474,985.409,5388.777,1,0,Europe,1,False,0
088,Cambridge,18,"Cambridge,  United Kingdom",United Kingdom,"Cambridge, Cambridgeshire, East of England, England, United Kingdom",52.19758465,0.1391537373687439,994.734,5441.202,1,0,Europe,1,False,0
088,Cambridge,31,"Cambridge,  United States",United States,"Cambridge, Middlesex County, Massachusetts, United States",42.3750997,-71.1056157,2584.017,15806.132,1,0,North America,1,False,0
088,London,55,"London,  Canada",Canada,"London, Southwestern Ontario, Ontario, N6A 1G4, Canada",42.9836747,-81.2496068,5588.709,34219.614,2,0,North America,2,False,0
090,London,6,"London,  United Kingdom",United Kingdom,"London, Westminster, England, SW1A 2DX, United Kingdom",51.5073219,-0.1276474,467.277,2257.775,1,0,Europe,1,False,0
090,London,20,"London,  Canada",Canada,"London, Southwestern Ontario, Ontario, N6A 1G4, Canada",42.9836747,-81.2496068,2150.473,13119.018,1,0,North America,1,False,0
091,Cambridge,23,"Cambridge,  United States",United States,"Cambridge, Middlesex County, Massachusetts, United States",42.3750997,-71.1056157,5272.547,32469.69,1,0,North America,1,False,0
091,Cambridge,26,"Cambridge,  United Kingdom",United Kingdom,"Cambridge, Cambridgeshire, East of England, England, United Kingdom",52.19758465,0.1391537373687439,5499.847,33878.497,1,0,Europe,1,False,0
092,Cambridge,17,"Cambridge,  United States",United States,"Cambridge, Middlesex County, Massachusetts, United States",42.3750997,-71.1056157,864.867,3917.076,2,0,North America,2,False,0
092,Cambridge,31,"Cambridge,  United Kingdom",United Kingdom,"Cambridge, Cambridgeshire, East of England, England, United Kingdom",52.19758465,0.1391537373687439,2044.271,12460.774,1,0,Europe,1,False,0
095,Cambridge,36,"Cambridge,  United Kingdom",United Kingdom,"Cambridge, Cambridgeshire, East of England, England, United Kingdom",52.19758465,0.139153737368744,962.445,4755.094,2,0,Europe,2,False,0
095,Cambridge,84,"Cambridge,  United States",United States,"Cambridge, Middlesex County, Massachusetts, United States",42.3750997,-71.1056157,10432.339,63611.561,5,0,North America,5,False,0
098,Cambridge,20,"Cambridge,  United Kingdom",United Kingdom,"Cambridge, Cambridgeshire, East of England, England, United Kingdom",52.19758465,0.1391537373687439,1046.363,5466.402,2,0,Europe,2,False,0
098,Cambridge,39,"Cambridge,  United States",United States,"Cambridge, Middlesex County, Massachusetts, United States",42.3750997,-71.1056157,7912.925,48205.839,4,0,North America,4,False,0
099,Cambridge,23,"Cambridge,  United Kingdom",United Kingdom,"Cambridge, Cambridgeshire, East of England, England, United Kingdom",52.19758465,0.139153737368744,1934.179,10571.564,2,0,Europe,2,False,0
099,Cambridge,84,"Cambridge,  United States",United States,"Cambridge, Middlesex County, Massachusetts, United States",42.3750997,-71.1056157,22992.701,140622.303,9,0,North America,9,False,0
108,Cambridge,17,"Cambridge,  United Kingdom",United Kingdom,"Cambridge, Cambridgeshire, East of England, England, United Kingdom",52.19758465,0.1391537374,879.611,4793.974,1,0,Europe,1,False,0
108,Cambridge,58,"Cambridge,  United States",United States,"Cambridge, Middlesex County, Massachusetts, United States",42.3750997,-71.1056157,4963.523,30344.7,2,0,North America,2,False,0
115,Cambridge,25,"Cambridge,  United Kingdom",United Kingdom,"Cambridge, Cambridgeshire, East of England, England, United Kingdom",52.19758465,0.1391537373687439,1034.124,5369.285,2,0,Europe,2,False,0
115,Cambridge,54,"Cambridge,  United States",United States,"Cambridge, Middlesex County, Massachusetts, United States",42.3750997,-71.1056157,10800.252,65682.24,6,0,North America,6,False,0
119,Cambridge,5,"Cambridge,  United Kingdom",United Kingdom,"Cambridge, Cambridgeshire, East of England, England, United Kingdom",52.19758465,0.1391537373687439,28.139,941.093,0,1,Europe,1,False,0
119,Cambridge,34,"Cambridge,  United States",United States,"Cambridge, Middlesex County, Massachusetts, United States",42.3750997,-71.1056157,3256.998,19767.627,2,0,North America,2,False,0
125,Cambridge,6,"Cambridge,  United States",United States,"Cambridge, Middlesex County, Massachusetts, United States",42.3750997,-71.1056157,51.161,1711.061,0,7,North America,7,False,0
